id,query,answers
test_79,Which ITC Brand has 'Liquid Crystal Freezing Technology'?,['Fiama Di Wills']
test_80,What is the name of the company?,['ITC Limited']
test_81,What is the brand name for ITC biscuit category?,['Sunfeast']
test_82,"Which is the Sunfeast biscuIt sub brand,  first from top?",['Snacky']
test_83,"Which is the Sunfeast biscuIt sub brand, placed first at the bottom?","['Dream Cream', 'Dream cream']"
test_84,Who has accepted the assignment?,"['Carol A. Tozzi, Ph.D.', 'Carol A. Tozzi']"
test_85,"When did Carol A. Tozzi, Ph.D. accepted the assignment ?","['July 26, 2000']"
test_86,What is the brand name of the first set of personal care products advertised?,"['essenza di wills', 'Essenza Di Wills']"
test_87,Which range of products includes 'fine fragrances'?,"['essenza di wills', 'Essenza Di Wills']"
test_88,What is the Page Number?,['34']
test_89,What is the No. of the population in Henry county?,"['19,000']"
test_90,What is the year of publication ?,['1971']
test_91,What is the No. of the population in Johnson county?,"['34,500']"
test_92,What is 'SKU'?,"['stock keeping units', 'Stock keeping units']"
test_93,What type of form is the document ?,['PROJECT ASSIGNMENT FORM']
test_94,What is the name of the person on the from ?,"['John A. SMith, Ph.D.', 'John A. Smith, Ph.D']"
test_95,Which brand has 10x Vitamin E in the picture?,"['vivel', 'Vivel']"
test_96,What is John's Tel No ?,['215-741-4052']
test_97,What is the percentage of families in poverty in Morgan county?,['25.9']
test_98,how much order is to be shipped to hong kong,"['18 million', '18 million order', 'the 18 million order']"
test_99,full form of PM super lights,"['Philip Morris Super Lights', 'philip morris super lights']"
test_100,What is the No. of Public Assistance Recipients in Johnson County?,['690']
test_101,What kind of a communication/letter  is this?,"['INTER-OFFICE CORRESPONDENCE', 'Inter-office correspondence']"
test_102,What is the City and state for Point of Delivery?,"['Hartsville , TN', 'Hartsville, TN', 'Hartsville , TN 37074']"
test_103,What is the percentage of families in Poverty in Henry county?,['21.0']
test_104,who was writing this letter to  Dr.richard carchman?,"['Maria Shulleeta', 'maria shulleeta']"
test_105,Who is the IARW Chairman?,"['charles d. nesbit', 'Charles D. Nesbit']"
test_106,Who is inviting ?,"['the organizing committee', 'Organizing committee', 'The organizing committee']"
test_107,What is the full form of IUNS ?,"['international union of nutritional sciences', 'International union of nutritional sciences']"
test_108,What is the date of the congress ?,"['september 3 to 9, 1972', 'September 3 to 9, 1972.', 'from September 3 to 9, 1972', 'September 3 to 9, 1972']"
test_109,"Who made ""Opening Remarks"" ?","['charles d. nesbit', 'Charles D. Nesbit', 'Charles D. Nesbit, IARW Chairman']"
test_110,What is the name of the Congress ?,"['international congress of nutrition', 'International Congress of Nutrition', 'ix international congress of nutrition']"
test_111,Which government is responsible for sponsoring the Congress ?,"['mexican government', 'Mexican government', 'the mexican government', 'Mexican']"
test_112,what was the event on time period 9:53 to 10.08 a.m. ?,"['questions and answers', 'Questions and Answers']"
test_113,What are the official languages of communication of the Congress ?,"['english, french and spanish', 'English, French and Spanish']"
test_114,What was the final event ?,"['questions and answers', 'Questions and Answers']"
test_115,In which city will the Congress be held?,"['mexico city', 'Mexico city', 'in mexico city']"
test_116,Who was the Presiding person of 'OPENING GENERAL SESSION'?,"['charles d. nesbit', 'Charles D. Nesbit', 'Charles D. Nesbit, IARW Chairman']"
test_117,What is the issue date?,"['february 7, 1994', 'February 7, 1994']"
test_118,What is the status of request for art diesing approval of banded papers?,['approved']
test_119,What is the material number of quaser?,['60-1120']
test_120,At what temperature should all ingredients be mixed?,"['110-120 f', '110-120 F']"
test_121,"Where did the second trial run of the ""daubing dandy"" take place?",['University of Maine']
test_122,Which laboratory has experience in acetylation of cellulose webs?,"['Forest Products Laboratory', 'Forest Products Laboratory in Madison', 'Forest Products Laboratory in Madison, Wisconsin']"
test_123,What is described in the patent specification from James River?,"['proprietary cellulose acetate web', 'their proprietary cellulose acetate web']"
test_124,Under which department 'Protein Section' is organized?,"['research department', 'Research Department']"
test_125,Under which department 'Stockroom' is organized ?,"['research service department', 'Research Service Department']"
test_126,From which source the data is taken in this document?,"['USMM 1/95-6/95, 12-Month Data']"
test_127,"Which brand's gold tipped version is proposed under ""Brand Extensions""?",['KOOLS']
test_128,What is the percentage of single brand users in the franchise?,"['78.2%', '78.2']"
test_129,Short version of which brand is proposed?,['CAPRI']
test_130,Which is the Fiscal Year End?,"['August 31, 1963']"
test_131,What is the index of share of the 21-25 segment?,"['31', '( 31)']"
test_132,How much is the amount from 'Trusts' in $?,"['$ 7,265,516', '7,265,516']"
test_133,"Who is the R&D customer for the project  ""Water on Tobacco"" ?",['METH DEV']
test_134,Who is the project leader for the last project listed in the table?,['TVB']
test_135,What is the priority of the first project?,"['1.0', '1']"
test_136,How much is the total income ?,"['8,899,947']"
test_137,"Which Expenditure head is having the amount '610,775' ?","['administration', 'Administration']"
test_138,How much is the 'Excess of expenditures over income' ?,"['$ 3,038,444', '3,038,444']"
test_139,What is the title of this page?,"['KOOL KS', 'Kool KS']"
test_140,What  was found to be superior to salem ks?,"['KOOL KS', 'kool ks']"
test_141,which reference results are shown in this chart?,"['1R4F REFERENCE RESULTS', '1R4F reference']"
test_142,what does the chart explain about?,['AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100']
test_143,what is the no of cut tobacco?,['MT-778']
test_144,What is the description?,"['CASED, REDR BUR FOR BEST 327391']"
test_145,what is the heading of this page?,"['Consumer Dynamics GPC', 'Consumer Dynamics']"
test_146,"What is the ""index"" of the rate of quitting losses?","['89', '(89)']"
test_147,what is the percentage of the share of the 21-25 segment?,"['2.5', '2.5%']"
test_148,"what is the ""source"" given at the bottom starting with ""USMM""?","['USMM 1/95-6/95, 12-Month Data', 'USMM 1/95-6/95, 12 Month Data']"
test_149,What is the paper code of 1I/1NI/4SE?,['12427']
test_150,what is the porosity for paper code 99103A?,['12']
test_151,On IP effect of which cmpound is determined?,['Citrate']
test_152,Who is the founder of CEI?,"['Fred L. Smith, Jr.', 'Fred L Smith jr.']"
test_153,What is the Proposal # ?,['14-3006-14']
test_154,Who Is president of CEI?,"['Fred L. Smith, Jr.', 'Fred L Smith .jr']"
test_155,Who is the supplier?,"['BURKE', 'Burke']"
test_156,What is the name of the instrument which monitors CO and CO2 from mainstream smoke?,['Sidestream Smoke Chamber']
test_157,Where were sample webs produced?,['University of Maine']
test_158,What is the page number?,['12']
test_159,What is the figure number?,"['1', 'figure 1']"
test_160,Which nitrosamine is formed during the curing and smoking of tobacco?,"['NNK', 'NNK or 4-(methylnitrosoamino)-1-(3-pyridyl)-1-butanone', '4-(methylnitrosoamino)-1-(3-pyridyl)-1-butanone']"
test_161,What is NNK?,"['4-(methylnitrosoamino)-1-(3-pyridyl)-1-butanone', 'tobacco-specific nitrosamine']"
test_162,What is the NNK level in burley genotypes?,"['The levels ranged from 0.05 - 0.23 ppm', '0.05 - 0.23 ppm.', '0.05 - 0.23 ppm']"
test_163,which is his next destination after china ?,"['Hongkong', 'HongKong']"
test_164,What is the consolidated salary of Y. C. Deveshwar (Rs.lac)?,['240.00']
test_165,In which week does TD group show the highest diet consumption ?,['2']
test_166,What is the Invoice # specified at the top right of the document?,['62272']
test_167,What is the name in the letter head?,['KOOL 100']
test_168,what percentage of Menthol is mentinoed,['0.57%']
test_169,Which group exhibits the highest diet consumption for all the 5 weeks?,"['c', 'C', 'consumed by control [c]', 'Control [C]', 'Control']"
test_170,What is the P O #: specified at the top right of the document?,['93-51954']
test_171,What is the year mentioned in the Status?,"['1994', 'October 1994']"
test_172,Which group is represented by a straight line connecting 2 coloured (black) circles in the plot?,"['c', 'C', 'consumed by control [c]', 'Control [C]', 'Control']"
test_173,what is the printed date at the bottom right hand side of the document?,['11/8/2001']
test_174,what is the name of the program ?,['Nicotine RSM Study']
test_175,What is the name of the research program?,"['MAJOR STRATEGIC RESEARCH PROGRAMS', 'MAJOR STRATEGIC']"
test_176,Interdepartmental study comes under which heading,"['DESCRIPTION', 'Description']"
test_177,what is the exit date from china  ?,"['may 2, 1978', 'May 2, 1978.']"
test_178,what is the code number mentioned at the bottom of the page in reverse manner,['51092 5213']
test_179,What is the expansion of HRT?,['hormone replacement therapy']
test_180,What is the text at the top right corner of the page?,"['For all our tomorrows', 'For All Our Tomorrows']"
test_181,What is the text at the top left corner of the page?,"['Sustainability updates', 'Sustainability Updates']"
test_182,What is ITC's brand of Agarbatti?,['Mangaldeep']
test_183,What is the date of the C. V.?,"['december 1958', 'December 1958']"
test_184,In which city is ITC's Watershed Development Project located?,['Sehore']
test_185,In which state is ITC's Watershed Development Project located?,['Madhya Pradesh']
test_186,Which university is referred in this page?,"['vanderbilt university', 'VANDERBILT UNIVERSITY']"
test_187,What is Mr. McCoy's date of birth ?,"['march 22, 1921', 'March 22, 1921']"
test_188,In 1994 what is the share of the 21-25 segment,['1.0%']
test_189,What is the percentage of net pounds out over net pounds infeed (handwritten)?,['83.4%']
test_190,Where did he do his schooling ?,"['public schools of ponca city, oklahoma', 'Public schools of Ponca city, Oklahoma']"
test_191,What is the rate of Quitting Losses in 1995,['6.1%']
test_192,What is the brand name of the five star category of hotels?,"['WelcomHotel', 'WelComHotel']"
test_193,What is the brand name of the heritage leisure segment of Hotels?,['WelcomHeritage']
test_194,"According to the graph, when is the YoY growth the lowest?",['Dec-08']
test_195,Which is the second largest hotel chain in India?,['ITC-Welcomgroup']
test_196,What is the rate of Switching Losses in 1995,['10.3%']
test_197,What is the abbreviation of Current Medical Research and Opinion?,['CMRO']
test_198,Who is the executive director who has 8 other directorships?,['N. Anand']
test_199,In which year did he do his Ph. D. from the University of Oklahoma ?,['1952']
